;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oficina;Demora (días hábiles);EFICIENCIA - ENERO 26; ENVIOS - ENERO 26;EFICIENCIA - FEBRERO 26; ENVIOS - FEBRERO 26;EFICIENCIA - MARZO 26; ENVIOS - MARZO 26;EFICIENCIA  - ABRIL 26;ENVIOS - ABRIL 26;EFICIENCIA - MAYO 26;ENVIOS - MAYO 26;EFICIENCIA - JUNIO 26;ENVIOS - JUNIO 26;EFICIENCIA - JULIO 26;ENVIOS - JULIO 26;EFICIENCIA - AGOSTO 26;ENVIOS - AGOSTO 26;EFICIENCIA -SEPTIEMBRE 26;ENVIOS - SEPTIEMBRE 26;EFICIENCIA - OCTUBRE 26;ENVIOS - OCTUBRE 26;EFICIENCIA - NOVIEMBRE 26;ENVIOS - NOVIEMBRE 26;EFICIENCIA - DICIEMBRE 26;ENVIOS - DICIEMBRE 26;;;;
Bahia Blanca;2;90%;21;100%;18;100%;21;100%;20;100%;19;95%;21;100%;22;;;;;;;;;;;;Demora (días hábiles);Q°;%
Bariloche;2;52%;21;89%;18;90%;21;90%;20;79%;19;95%;21;73%;22;;;;;;;;;;;;24 hs;21;72%
CABA;1;100%;21;100%;21;100%;21;100%;21;100%;19;100%;22;100%;25;;;;;;;;;;;;48 hs;8;28%
Catamarca;1;100%;21;83%;18;81%;21;95%;20;95%;19;90%;21;87%;23;;;;;;;;;;;;72 hs;0;0%
Comodoro Rivadavia;2;95%;22;83%;18;86%;21;100%;20;100%;19;90%;21;91%;22;;;;;;;;;;;;;;
Cordoba;1;100%;22;100%;19;100%;21;100%;20;100%;19;100%;21;100%;23;;;;;;;;;;;;;;
Jujuy;1;95%;21;94%;18;90%;21;100%;20;100%;19;95%;21;82%;22;;;;;;;;;;;;;;
Junin;1;100%;21;100%;18;100%;21;100%;20;100%;19;100%;21;100%;23;;;;;;;;;;;;;;
La Rioja;1;100%;21;94%;18;86%;21;100%;20;95%;19;95%;21;91%;22;;;;;;;;;;;;;;
Mar del Plata;2;76%;21;89%;19;71%;21;100%;22;100%;20;100%;21;100%;22;;;;;;;;;;;;;;
Mendoza;1;90%;21;89%;19;100%;21;100%;22;100%;19;100%;21;100%;23;;;;;;;;;;;;;;
Moron;1;100%;21;100%;18;100%;21;100%;20;100%;19;100%;21;100%;22;;;;;;;;;;;;;;
Neuquen;2;90%;21;94%;18;76%;21;86%;21;95%;19;43%;21;91%;23;;;;;;;;;;;;;;
Parana;1;95%;22;100%;18;95%;21;100%;20;100%;19;100%;21;100%;22;;;;;;;;;;;;;;
Posadas;2;90%;21;89%;19;86%;21;95%;21;89%;19;90%;21;86%;22;;;;;;;;;;;;;;
Resistencia;1;100%;21;100%;18;95%;21;95%;21;100%;19;100%;21;100%;22;;;;;;;;;;;;;;
Rio Cuarto;1;95%;21;83%;18;90%;21;100%;21;100%;19;95%;21;100%;22;;;;;;;;;;;;;;
Rosario;1;100%;26;100%;22;100%;21;100%;23;100%;23;100%;24;100%;26;;;;;;;;;;;;;;
Salta;1;100%;22;100%;19;90%;21;100%;20;100%;19;90%;21;95%;22;;;;;;;;;;;;;;
San Francisco;1;96%;25;100%;22;100%;21;100%;23;100%;23;100%;24;100%;26;;;;;;;;;;;;;;
San Juan;1;91%;22;78%;18;90%;21;100%;20;100%;19;100%;21;96%;23;;;;;;;;;;;;;;
San Luis;1;86%;21;78%;18;100%;21;85%;20;100%;19;100%;21;100%;22;;;;;;;;;;;;;;
Santa Fe;1;100%;21;100%;18;100%;21;100%;20;100%;19;100%;21;100%;22;;;;;;;;;;;;;;
Santa Rosa;2;100%;21;94%;18;100%;21;100%;21;100%;19;100%;21;100%;22;;;;;;;;;;;;;;
Santiago del Estero;1;100%;21;100%;18;100%;21;100%;20;100%;19;95%;21;100%;22;;;;;;;;;;;;;;
Trelew;2;76%;21;72%;18;43%;21;65%;20;100%;19;100%;21;95%;22;;;;;;;;;;;;;;
Tucuman;1;100%;21;94%;18;100%;21;100%;21;100%;20;100%;21;91%;23;;;;;;;;;;;;;;
Villa Maria;1;100%;21;100%;18;95%;21;95%;22;100%;19;100%;21;100%;22;;;;;;;;;;;;;;
Villa Mercedes;1;100%;22;100%;22;100%;21;100%;21;100%;21;100%;21;100%;22;;;;;;;;;;;;;;
EFICIENCIA GLOBAL;;93,90%;;93,77%;;91,95%;;96,83%;;98,40%;;95,78%;;95,88%;;;;;;;;;;;;;;;
