;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oficina;Demora (días hábiles);EFICIENCIA - ENERO 26; ENVIOS - ENERO 26;EFICIENCIA - FEBRERO 26; ENVIOS - FEBRERO 26;EFICIENCIA - MARZO 26; ENVIOS - MARZO 26;EFICIENCIA  - ABRIL 26;ENVIOS - ABRIL 26;EFICIENCIA - MAYO 26;ENVIOS - MAYO 26;EFICIENCIA - JUNIO 26;ENVIOS - JUNIO 26;EFICIENCIA - JULIO 26;ENVIOS - JULIO 26;EFICIENCIA - AGOSTO 26;ENVIOS - AGOSTO 26;EFICIENCIA -SEPTIEMBRE 26;ENVIOS - SEPTIEMBRE 26;EFICIENCIA - OCTUBRE 26;ENVIOS - OCTUBRE 26;EFICIENCIA - NOVIEMBRE 26;ENVIOS - NOVIEMBRE 26;EFICIENCIA - DICIEMBRE 26;ENVIOS - DICIEMBRE 26;;;;
Bahia Blanca;2;100%;21;94%;18;81%;21;100%;20;100%;18;81%;21;86%;22;;;;;;;;;;;;Demora (días hábiles);Q°;%
Bariloche;3;86%;21;76%;17;80%;20;80%;20;100%;19;80%;20;77%;22;;;;;;;;;;;;24 hs;14;48%
CABA;1;90%;21;100%;18;100%;21;95%;20;89%;19;100%;23;100%;22;;;;;;;;;;;;48 hs;8;28%
Catamarca;3;95%;21;65%;17;86%;21;95%;20;95%;19;100%;21;86%;22;;;;;;;;;;;;72 hs;7;24%
Comodoro Rivadavia;3;61%;18;60%;15;69%;16;93%;15;53%;15;79%;14;82%;17;;;;;;;;;;;;;;
Cordoba;1;100%;23;100%;18;100%;23;95%;20;100%;19;100%;21;95%;22;;;;;;;;;;;;;;
Jujuy;1;95%;21;89%;18;95%;21;100%;20;89%;19;100%;21;100%;22;;;;;;;;;;;;;;
Junin;1;90%;20;86%;14;87%;15;86%;14;100%;14;100%;18;85%;13;;;;;;;;;;;;;;
La Rioja;3;94%;16;54%;13;94%;18;92%;13;75%;12;94%;16;94%;17;;;;;;;;;;;;;;
Mar del Plata;2;85%;20;100%;15;81%;21;100%;20;100%;19;81%;21;91%;22;;;;;;;;;;;;;;
Mendoza;2;100%;21;100%;19;95%;21;95%;21;100%;19;100%;21;91%;22;;;;;;;;;;;;;;
Moron;2;89%;19;100%;17;100%;21;95%;20;89%;18;100%;20;94%;17;;;;;;;;;;;;;;
Neuquen;3;86%;21;82%;17;90%;20;80%;20;100%;19;76%;21;77%;22;;;;;;;;;;;;;;
Parana;1;100%;21;94%;18;100%;20;100%;20;100%;19;100%;21;100%;21;;;;;;;;;;;;;;
Posadas;2;67%;21;69%;16;58%;19;71%;17;94%;16;72%;18;52%;21;;;;;;;;;;;;;;
Resistencia;1;100%;21;100%;17;100%;21;100%;20;100%;18;100%;21;100%;21;;;;;;;;;;;;;;
Rio Cuarto;2;100%;23;91%;22;92%;25;96%;23;100%;21;100%;21;100%;21;;;;;;;;;;;;;;
Rosario;1;100%;21;100%;18;100%;21;95%;20;95%;19;100%;21;100%;22;;;;;;;;;;;;;;
Salta;1;95%;21;100%;17;90%;20;88%;16;84%;19;83%;18;95%;20;;;;;;;;;;;;;;
San Francisco;1;100%;22;100%;20;100%;25;100%;22;100%;23;100%;24;100%;25;;;;;;;;;;;;;;
San Juan;2;85%;20;82%;17;90%;20;95%;20;100%;19;86%;21;95%;22;;;;;;;;;;;;;;
San Luis;3;79%;19;94%;16;90%;21;94%;17;93%;15;87%;15;100%;18;;;;;;;;;;;;;;
Santa Fe;1;100%;21;100%;18;100%;21;95%;20;100%;19;100%;21;100%;22;;;;;;;;;;;;;;
Santa Rosa;2;86%;21;75%;16;90%;20;100%;16;100%;17;100%;18;95%;19;;;;;;;;;;;;;;
Santiago del Estero;1;100%;23;100%;17;100%;21;100%;19;100%;19;90%;21;100%;22;;;;;;;;;;;;;;
Trelew;3;100%;13;92%;12;63%;16;75%;12;80%;10;64%;14;79%;14;;;;;;;;;;;;;;
Tucuman;1;95%;21;94%;18;90%;21;100%;20;100%;19;100%;21;95%;22;;;;;;;;;;;;;;
Villa Maria;1;100%;21;94%;17;62%;21;80%;20;84%;19;90%;21;95%;22;;;;;;;;;;;;;;
Villa Mercedes;1;100%;21;100%;21;100%;21;100%;21;100%;21;100%;21;100%;21;;;;;;;;;;;;;;
EFICIENCIA GLOBAL;;92,58%;;90,12%;;89,70%;;93,41%;;94,64%;;92,52%;;92,27%;;;;;;;;;;;;;;;
